Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
10,-0.0068220096,-0.22011082,0.034550723,0.31054902,1,1.0,5
10,-0.011224226,-0.41570756,0.040761705,0.6139249,0,1.0,6
10,-0.019538376,-0.6113747,0.053040203,0.91916245,0,1.0,7
10,-0.03176587,-0.80717194,0.07142345,1.2280318,0,1.0,8
10,-0.04790931,-1.0031366,0.09598409,1.5422101,0,1.0,9
10,-0.06797204,-0.80929077,0.12682828,1.2809556,1,1.0,10
10,-0.08415786,-1.0057796,0.1524474,1.6105093,0,1.0,11
10,-0.10427345,-1.2023382,0.18465759,1.946574,0,1.0,12
11,0.049158145,-0.1812043,-0.045659248,0.29898697,0,1.0,1
11,0.04553406,-0.37564668,-0.03967951,0.5769274,0,1.0,2
11,0.038021125,-0.57019067,-0.02814096,0.856851,0,1.0,3
11,0.026617313,-0.7649181,-0.01100394,1.1405542,0,1.0,4
11,0.011318951,-0.56965405,0.011807143,0.8444407,1,1.0,5
11,-7.413004e-05,-0.76493514,0.028695956,1.1408131,0,1.0,6
11,-0.015372832,-0.5701998,0.05151222,0.85726583,1,1.0,7
11,-0.026776828,-0.7659843,0.06865753,1.1656909,0,1.0,8
11,-0.042096514,-0.9619294,0.09197135,1.4790856,0,1.0,9
11,-0.0613351,-0.7680426,0.12155306,1.2164861,1,1.0,10
11,-0.07669596,-0.5746798,0.14588279,0.96423054,1,1.0,11
11,-0.08818955,-0.7714283,0.16516739,1.298956,0,1.0,12
11,-0.103618115,-0.5787427,0.19114652,1.0621998,1,1.0,13
12,-0.034358103,0.24380118,0.040733818,-0.32536298,1,1.0,1
12,-0.029482082,0.048123635,0.03422656,-0.020117706,0,1.0,2
12,-0.028519608,-0.14747202,0.0338242,0.2831646,0,1.0,3
12,-0.031469047,0.047151573,0.039487496,0.0013386009,1,1.0,4
12,-0.030526018,0.24168563,0.039514266,-0.2786287,1,1.0,5
12,-0.025692305,0.43622226,0.033941694,-0.55859166,1,1.0,6
12,-0.01696786,0.63085175,0.022769859,-0.8403908,1,1.0,7
12,-0.004350825,0.43542644,0.005962043,-0.5406351,0,1.0,8
12,0.0043577035,0.6304641,-0.004850659,-0.83143353,1,1.0,9
12,0.016966986,0.43540877,-0.02147933,-0.5402801,0,1.0,10
12,0.02567516,0.24059522,-0.03228493,-0.25444162,0,1.0,11
12,0.030487064,0.04594876,-0.037373763,0.027885798,0,1.0,12
12,0.03140604,-0.14861785,-0.03681605,0.30854657,0,1.0,13
12,0.028433682,-0.34319642,-0.030645117,0.58939517,0,1.0,14
12,0.021569755,-0.14765906,-0.018857213,0.2872186,1,1.0,15
12,0.018616574,0.04772667,-0.013112841,-0.01135158,1,1.0,16
12,0.019571107,0.2430342,-0.0133398725,-0.30814275,1,1.0,17
12,0.024431791,0.04810484,-0.019502727,-0.019696536,0,1.0,18
12,0.025393888,-0.14673208,-0.019896658,0.26676983,0,1.0,19
12,0.022459246,0.048668113,-0.014561262,-0.032121677,1,1.0,20
12,0.023432609,-0.14624202,-0.015203696,0.25593168,0,1.0,21
12,0.020507768,-0.34114364,-0.010085062,0.5437806,0,1.0,22
12,0.013684895,-0.14588143,0.00079054985,0.24793722,1,1.0,23
12,0.010767266,-0.34101465,0.005749294,0.5408694,0,1.0,24
12,0.003946973,-0.145974,0.016566683,0.25000352,1,1.0,25
12,0.0010274932,0.048907503,0.021566752,-0.037408244,1,1.0,26
