Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Score
9,-0.02422031,-0.0041124662,-0.007080314,-0.06648831,0,-0.697654951363802,()
9,-0.024302559,-0.19913219,-0.00841008,0.22395235,0,-0.1329766120761633,()
9,-0.028285204,-0.39413294,-0.0039310334,0.5139706,0,0.44790469110012054,()
9,-0.03616786,-0.5891993,0.006348378,0.8054122,0,-0.24173445999622345,()
9,-0.047951847,-0.39416495,0.022456622,0.51473296,1,-1.610824465751648,()
9,-0.055835146,-0.19936635,0.03275128,0.22921038,1,-1.0294659063220024,()
9,-0.059822474,-0.0047273478,0.03733549,-0.052964382,1,-0.4584208130836487,()
9,-0.05991702,-0.2003642,0.0362762,0.2512605,0,0.10592900216579437,()
9,-0.063924305,-0.005778541,0.04130141,-0.02976312,1,-0.5025211721658707,()
9,-0.06403988,-0.2014677,0.040706147,0.27565944,0,0.059526413679122925,()
9,-0.06806923,-0.39714605,0.046219338,0.58089817,0,-0.5513191223144531,()
9,-0.07601215,-0.5928841,0.0578373,0.88777536,0,-1.1617962270975113,()
9,-0.08786983,-0.39859286,0.07559281,0.61382043,1,-1.7755508422851562,()
9,-0.09584169,-0.5946852,0.08786922,0.9293221,0,-1.2276411056518555,()
9,-0.107735395,-0.40085223,0.10645566,0.6654947,1,-1.858644187450409,()
9,-0.115752436,-0.20735943,0.11976555,0.40813744,1,-1.3309888541698456,()
9,-0.11989963,-0.40395784,0.1279283,0.7360496,0,-0.8162751793861389,()
9,-0.12797879,-0.21081322,0.1426493,0.48620853,1,-1.4720991253852844,()
9,-0.13219506,-0.4076295,0.15237346,0.8202311,0,-0.9724169969558716,()
9,-0.14034764,-0.60447156,0.16877808,1.1566978,0,-1.6404613852500916,()
9,-0.15243708,-0.41190276,0.19191204,0.9213345,1,-2.3133963346481323,()
10,0.030254437,-0.21295631,-0.034699116,0.30125758,0,0.039702653884887695,()
10,0.02599531,-0.017357416,-0.028673965,-0.0021636472,1,0.6025150418281555,()
10,0.025648164,0.17816378,-0.028717238,-0.30375388,1,-0.004327297210693359,()
10,0.02921144,-0.016537393,-0.034792315,-0.020264238,0,-0.6075076758861542,()
10,0.028880691,-0.21114355,-0.0351976,0.26124147,0,-0.0405285507440567,()
10,0.02465782,-0.40574586,-0.029972771,0.54261816,0,0.5224829539656639,()
10,0.016542902,-0.600434,-0.019120408,0.82570857,0,1.085236296057701,()
10,0.0045342217,-0.79528934,-0.0026062375,1.1123171,0,1.6514170914888382,()
10,-0.011371565,-0.99037695,0.019640103,1.4041812,0,-1.7033865675330162,()
10,-0.031179104,-1.1857373,0.04772373,1.7029389,0,-2.8083626180887222,()
10,-0.054893848,-1.381375,0.081782505,2.010087,0,-3.405877575278282,()
10,-0.08252135,-1.1871935,0.12198424,1.7438055,1,-4.0201738476753235,()
10,-0.10626522,-0.9936524,0.15686035,1.4914255,1,-3.4876108169555664,()
10,-0.12613827,-0.80074877,0.18668887,1.2515508,1,-2.9828518629074097,()
11,-0.004547711,0.22538503,-0.026808785,-0.3189305,1,-0.036043114960193634,()
11,-4.0010553e-05,0.030654939,-0.033187393,-0.03482117,0,-0.6378607824444771,()
11,0.00057308824,-0.16397576,-0.033883817,0.24720882,0,-0.06964243948459625,()
11,-0.0027064271,-0.35859782,-0.028939642,0.5290144,0,0.49441754817962646,()
11,-0.009878384,-0.16308095,-0.018359354,0.22735481,1,1.0580288246273994,()
11,-0.013140002,0.032298505,-0.013812258,-0.07106231,1,0.45470958575606346,()
11,-0.012494032,-0.16262273,-0.015233504,0.21723098,0,-0.14212457463145256,()
11,-0.015746487,0.03271364,-0.010888885,-0.08021806,1,0.43446188792586327,()
11,-0.015092214,-0.16225053,-0.012493245,0.2090096,0,-0.16043605282902718,()
11,-0.018337226,-0.35719165,-0.008313053,0.49772552,0,0.41801920160651207,()
11,-0.025481058,-0.16195348,0.0016414569,0.20243438,1,0.6671596318483353,()
11,-0.028720127,-0.35709885,0.0056901444,0.49563465,0,-0.4048687405884266,()
11,-0.035862103,-0.5523006,0.015602837,0.7901054,0,-0.9912692941725254,()
11,-0.046908118,-0.35739633,0.031404946,0.50237167,1,-1.5802107751369476,()
11,-0.054056045,-0.1627308,0.041452378,0.21974885,1,-1.0047432035207748,()
11,-0.05731066,0.03177486,0.045847356,-0.059575487,1,-0.43949782848358154,()
11,-0.056675162,0.22621049,0.044655845,-0.33744806,1,0.11915117502212524,()
11,-0.052150954,0.030482458,0.037906885,-0.03102424,0,0.6748959422111511,()
11,-0.051541302,0.22504088,0.0372864,-0.31151026,1,0.06204843521118164,()
11,-0.047040485,0.029408103,0.031056194,-0.0073054046,0,0.6230207160115242,()
11,-0.04645232,-0.16614516,0.030910086,0.2950121,0,0.01461077481508255,()
11,-0.049775228,-0.36169383,0.036810327,0.5972811,0,-0.5900241434574127,()
11,-0.0570091,-0.1671058,0.04875595,0.31641656,1,-1.194562390446663,()
11,-0.06035122,0.02728901,0.05508428,0.039499447,1,-0.632832944393158,()
11,-0.059805438,-0.1685778,0.05587427,0.34904063,0,-0.0789988785982132,()
11,-0.063177,-0.36444807,0.06285508,0.658806,0,-0.6980810314416885,()
11,-0.07046595,-0.17025465,0.0760312,0.38655835,1,-1.3176120817661285,()
11,-0.07387105,0.023710286,0.08376237,0.118783124,1,-0.773116946220398,()
11,-0.07339685,0.21753845,0.08613803,-0.14634243,1,-0.23756623268127441,()
11,-0.06904607,0.41132802,0.08321118,-0.41065574,1,0.2926848828792572,()
11,-0.060819514,0.60517776,0.07499807,-0.67598844,1,0.8213110268115997,()
11,-0.04871596,0.7991819,0.061478302,-0.9441478,1,1.35197713971138,()
11,-0.03273232,0.9934241,0.042595346,-1.2168975,1,1.8882956355810165,()
11,-0.012863838,1.1879717,0.018257394,-1.4959348,1,2.4337951093912125,()
11,0.010895596,0.99263257,-0.011661302,-1.1976076,0,0.6596092134714127,()
11,0.030748246,1.1879035,-0.035613455,-1.4939225,1,-2.395215258002281,()
11,0.054506317,0.99323237,-0.06549191,-1.2125691,0,-2.987845242023468,()
